Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soma de Consumo,Rótulos de Coluna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rótulos de Linha,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,Total Geral
07 - EXTRAÇÃO DE MINERAIS METÁLICOS,1101347.3660000002,996585.6720000001,1139503.584,1103973.0159999998,1197595.0650000002,1192146.689,1155128.9619999998,1193786.943,1183868.4749999999,1161054.216,1154735.803,1215281.248,1171668.576,1095299.8279999997,1127704.601,1121808.5950000002,1186198.6909999999,1189238.6809999999,1275352.0499999998,1328053.889,1266717.7299999997,1218947.7689999999,1226708.8699999999,1296298.412,1220205.6670000004,1117522.0369999998,1271281.641,1291546.3140000002,1373691.806,1219387.927,35792640.123
10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,2103402.9409999996,2052408.327,2132254.4339999994,2122638.063,2082143.197,2064909.6660000002,2076029.9589999998,2170647.173,2167065.418,2181683.495,2204290.7970000003,2186466.392,2175434.617,2234479.279,2229149.5209999997,2277867.589,2253197.141,2197007.015,2193110.9979999997,2260252.359,2234719.546,2266397.3219999997,2303065.145,2269289.556,2271564.895,2264281.691,2301422.228,2312829.594,2306141.9059999995,2231289.0769999996,66125439.34100001
13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,415746.536,475704.936,514790.76399999997,517023.082,496778.686,510842.07000000007,510407.579,537781.6599999999,539400.488,534380.5390000001,526292.2139999999,453079.77400000003,414786.741,476939.865,513396.14999999997,523730.97400000005,517918.011,512026.966,524924.716,551480.7829999999,548985.9380000001,545582.1699999999,546626.48,461196.515,429928.732,490427.395,521752.425,518186.956,519452.14,524665.476,15174236.761000006
"17 - FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",763819.598,754507.385,772893.8589999999,816208.526,782018.174,778918.803,804137.19,799320.6819999999,800497.1570000001,806963.7759999998,819632.853,809672.835,825410.3069999999,788426.692,809130.53,832604.9369999999,851722.8499999999,868990.7239999999,905725.176,935570.3700000001,884439.048,868490.7480000001,858929.3020000001,816263.5759999999,811417.307,787495.709,819030.479,853830.462,831574.965,846180.874,24703824.894
20 - FABRICAÇÃO DE PRODUTOS QUÍMICOS,1587530.924,1542846.781,1641000.0320000001,1623786.62,1578554.3930000002,1589910.2179999999,1480724.3739999998,1535884.852,1583468.3240000003,1605227.869,1600946.6629999997,1571387.928,1576342.172,1591658.348,1634755.743,1604383.904,1573604.904,1608489.5750000002,1631726.097,1677072.572,1638054.231,1558522.928,1625649.911,1641665.331,1590356.626,1545056.24,1579616.664,1534007.3969999999,1592430.578,1500803.137,47645465.336
22 - FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,795447.731,855695.3350000001,888020.029,930334.73,889676.888,905479.199,909070.2910000001,926272.245,944039.132,926393.74,937724.0160000001,892274.462,831156.284,901992.213,929582.2450000001,955154.133,970688.169,966226.3840000001,961054.8949999999,1015258.0249999998,1020909.084,998617.5499999999,1031855.5389999999,940591.883,875362.091,947077.867,971616.6780000001,985350.962,986674.1309999999,1005002.8209999999,28094598.751999997
23 - FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,1086588.7740000002,1065995.77,1159092.6959999998,1179762.862,1174030.449,1189391.4270000001,1212143.626,1254235.6479999998,1227699.4020000002,1229644.3269999998,1164412.32,1118384.3360000001,1105560.382,1086528.2480000001,1176755.804,1196113.5810000002,1206218.768,1193913.9229999997,1251012.8919999998,1317765.1669999997,1277356.107,1285776.878,1270565.714,1187720.3129999998,1152394.202,1157360.676,1206039.0750000002,1223744.837,1264362.566,1257327.5799999998,35877898.35
24 - METALURGIA,3803046.8639999996,3679729.377,4111679.1050000004,3934597.3300000005,4073937.5949999997,3892181.3899999997,4067907.0020000003,4105133.7370000007,3897411.7389999996,4187541.8940000003,4014404.694,3926714.4409999996,4019699.427,3881548.3920000005,4133672.647,4105367.397,4250252.94,4218924.9120000005,4359221.608,4398419.8319999995,4286774.472,4349828.789999999,4192335.0999999996,4187312.456,4214686.564,3951310.119,4329873.970000001,4111379.5159999994,4231227.591000001,4200065.948000001,123116186.849
"25 - FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",341659.46400000004,353090.881,359920.447,381562.592,368463.236,376634.63,365552.397,374072.806,376331.083,370948.5029999999,380450.567,353933.69,326293.769,356251.37100000004,372310.229,378849.174,384404.993,377756.14700000006,379558.74000000005,399773.553,399561.505,375858.101,386252.13,352219.051,319707.276,344427.66099999996,359024.476,361033.795,359378.93299999996,363101.396,10998382.596
"29 - FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",505843.74899999995,540851.319,562930.353,580685.411,553515.704,565321.5910000001,542864.082,557425.6680000001,577812.69,561707.2829999999,570843.9510000001,528885.957,480540.19200000004,536110.497,575265.49,595220.6699999999,594820.9730000001,559113.658,568259.786,596381.626,603168.6440000001,610870.45,622856.071,569485.217,534047.916,582593.9349999999,586577.8150000002,590489.67,580706.658,569930.771,17005127.797
05 - EXTRAÇÃO DE CARVÃO MINERAL,4693.983,5086.077,5428.384,5359.128,6226.454000000001,16990.538999999997,19203.978,17065.069,20742.328,19954.436,20370.294,17897.306999999997,13826.141,20414.363,22130.725,23091.573,26841.002,22838.179,26098.054999999997,27177.84600000001,23067.17,23500.164,19190.69,14240.911,18348.489,19007.097,20877.777,19229.533000000003,19655.437,18416.627999999997,536969.757
06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,109299.521,86671.78100000002,106026.683,98098.43000000001,103194.61700000003,103813.74200000003,108955.37900000002,114452.61700000001,111710.066,113832.65700000002,107870.78299999998,114679.29900000001,115771.938,110810.638,111016.69300000001,120042.15700000002,111249.08099999999,106122.081,104529.288,109690.79200000002,108620.77700000002,107787.094,110461.35,113179.187,110865.70600000002,103941.35899999998,105506.38899999998,110146.46800000001,112187.063,110447.81499999999,3260981.4510000013
08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS,242901.607,237201.828,253116.25699999998,270982.90400000004,284000.1859999999,291888.98,296492.913,303784.4,298820.566,282770.122,266975.814,247190.143,242888.46099999998,259835.078,246436.598,270507.845,284915.079,287887.825,297016.621,320268.878,312248.709,296948.16099999996,268556.209,254823.51700000002,253136.27399999998,248886.29700000002,258016.684,275703.905,293434.04,300097.485,8247733.386000002
09 - ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,10871.573,11233.442,11452.190999999999,13348.84,13301.734000000002,13565.143000000002,15589.915,15731.821,15353.095,15365.756,15508.905999999999,15126.582,23576.879999999997,23548.274999999998,25827.113,15719.165,25610.916,26489.449999999997,26424.782,27938.315000000002,28401.229,28156.766,29260.715999999997,26971.661999999997,25007.381000000005,24905.034,27993.036000000004,27736.127,28132.739,27831.038000000004,635979.6220000001
11 - FABRICAÇÃO DE BEBIDAS,271278.45399999997,249815.76599999997,255567.01299999998,252901.322,240418.81000000003,230480.62799999997,231946.438,243457.09600000002,253317.33599999998,266213.36100000003,275256.35299999994,287591.426,290626.033,283335.013,277092.294,272872.698,264056.39900000003,253315.5,253303.703,260769.70699999997,263889.398,270176.691,277703.68700000003,278866.952,281622.737,267227.355,272022.565,272122.746,263348.52,251420.712,7912016.713
12 - FABRICAÇÃO DE PRODUTOS DO FUMO,11419.788,11987.751,17649.62,25803.566,24691.356,26529.985000000004,23717.051,21695.531000000003,19167.317,12241.054,11358.727000000003,10667.925000000001,13202.236,13845.528,20829.79,26545.042,26696.589,20963.563000000002,23569.447999999997,20107.192,18475.935,14980.883000000002,12595.491,11783.765,11375.985,13296.83,19194.984,24713.184,25627.653999999995,28002.513,562736.283
14 - CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,39373.296,44397.396,48531.69900000001,49365.869,43244.118,45424.80200000001,44758.823000000004,45375.32399999999,46335.28200000001,47157.082,47909.66100000001,44745.042,38741.824,46235.9,49815.147,49937.881,53545.984000000004,53089.331,49870.279,52769.382,51885.522,57894.78999999999,58545.27999999999,50262.140999999996,44902.495,55763.54,56508.975000000006,55837.778,53985.026000000005,53596.594000000005,1479806.2630000005
"15 - PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",88873.722,104841.17000000001,110722.43200000002,117736.96100000001,106134.49100000001,113326.307,109928.03,116061.84300000001,119984.18899999998,114320.822,118515.02399999999,112308.826,86895.727,103319.723,112751.611,113777.52399999999,115123.20700000002,112155.302,115160.862,128016.238,124082.467,123229.97399999999,129149.625,115646.76699999999,93861.15899999999,110892.033,115867.896,116965.831,118610.11899999999,120658.84599999999,3388918.728
16 - FABRICAÇÃO DE PRODUTOS DE MADEIRA,272217.407,271304.575,295320.378,309601.294,301668.935,314841.353,321872.36600000004,322580.701,327625.172,323569.78299999994,326633.50399999996,311535.10900000005,316295.486,326348.34699999995,317371.253,329782.482,317896.44,324219.63800000004,325593.359,353386.965,349250.262,345616.91099999996,344583.422,323788.34899999993,317318.304,301806.63200000004,314898.464,322142.511,333335.836,326291.15,9588696.388
18 - IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,40781.623,40701.825,40548.652,41810.975,39107.578,40316.081,38947.054,41106.272000000004,43416.645000000004,43992.425,46149.292,45902.615999999995,46991.086,45899.792,46211.089,48098.448,46861.140999999996,45259.978,44378.613,47351.412000000004,46260.395000000004,46457.931000000004,46943.02900000001,43186.92800000001,39840.922000000006,43502.138,42673.13100000001,43092.965000000004,42226.428,40934.117000000006,1308950.5810000002
"19 - FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",204815.631,184224.332,207946.611,199690.06600000002,205588.496,189350.51700000002,199500.74000000002,215402.073,199143.45,199222.157,209679.29799999998,208257.87200000003,224710.187,213724.83000000002,228728.41899999997,227746.72,242400.76499999998,225852.701,222480.83299999998,238302.631,230311.63000000003,194400.233,215018.146,229855.03599999996,233463.75100000002,226568.47999999998,245279.011,251257.976,235823.52799999996,223526.81,6532272.93
21 - FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,126730.39999999998,129307.36899999999,135025.08600000004,138899.318,129724.45400000001,128187.28999999998,124250.62200000002,127564.018,131704.34399999998,138298.33500000002,142440.594,129923.19,120311.76999999999,126347.71899999998,135536.105,136183.97999999998,130935.09599999999,127767.78400000003,120545.01200000002,121025.81,124220.42,124428.718,132958.307,129546.04,126153.80599999998,127418.52900000001,136592.245,138023.329,129451.111,124931.39899999996,3894432.1999999993
"26 - FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",55000.182,55493.801999999996,59884.369,58704.60300000001,56458.528000000006,55929.073000000004,54012.194,59064.314000000006,58006.778000000006,58109.18000000001,55389.266,54996.714,60404.541,61617.35799999999,63809.698,65600.697,63286.03200000001,61287.929000000004,65997.3,68492.101,69694.384,70208.99900000001,69679.598,64389.221000000005,66151.11200000001,69645.416,69837.027,69852.64899999999,68796.886,65531.057,1875331.0080000001
